# ATOM = 2 (spec = C )
# NDIV =     2000 dE=      0.01500750
#    energy (ev)        dos_total           orb-1            orb-2            orb-3            orb-4
    -16.03801901       0.16273247      0.11914097       0.02179649       0.02179502       0.00000000
    -16.02301151       0.16271170      0.11898518       0.02186403       0.02186249       0.00000000
    -16.00800400       0.16266097      0.11880799       0.02192728       0.02192569       0.00000000
    -15.99299650       0.16260754      0.11862878       0.02199019       0.02198857       0.00000000
    -15.97798899       0.16258112      0.11846892       0.02205691       0.02205529       0.00000000
    -15.96298149       0.16260179      0.11834310       0.02213014       0.02212854       0.00000000
    -15.94797399       0.16267152      0.11825321       0.02220994       0.02220837       0.00000000
    -15.93296648       0.16277281      0.11818714       0.02229360       0.02229207       0.00000000
    -15.91795898       0.16287497      0.11812321       0.02237661       0.02237514       0.00000000
    -15.90295148       0.16294601      0.11803855       0.02245443       0.02245303       0.00000000
    -15.88794397       0.16296533      0.11791814       0.02252426       0.02252293       0.00000000
    -15.87293647       0.16293228      0.11776103       0.02258624       0.02258501       0.00000000
    -15.85792896       0.16286707      0.11758114       0.02264352       0.02264240       0.00000000
    -15.84292146       0.16280349      0.11740221       0.02270113       0.02270015       0.00000000
    -15.82791396       0.16277615      0.11724882       0.02276407       0.02276326       0.00000000
    -15.81290645       0.16280698      0.11713686       0.02283537       0.02283475       0.00000000
    -15.79789895       0.16289635      0.11706711       0.02291483       0.02291441       0.00000000
    -15.78289145       0.16302224      0.11702452       0.02299897       0.02299875       0.00000000
    -15.76788394       0.16314804      0.11698356       0.02308225       0.02308222       0.00000000
    -15.75287644       0.16323620      0.11691777       0.02315914       0.02315929       0.00000000
    -15.73786893       0.16326252      0.11680977       0.02322624       0.02322652       0.00000000
    -15.72286143       0.16322580      0.11665819       0.02328362       0.02328400       0.00000000
    -15.70785393       0.16314897      0.11647859       0.02333497       0.02333540       0.00000000
    -15.69284642       0.16307114      0.11629806       0.02338632       0.02338676       0.00000000
    -15.67783892       0.16303340      0.11614534       0.02344383       0.02344423       0.00000000
    -15.66283142       0.16306350      0.11604016       0.02351151       0.02351183       0.00000000
    -15.64782391       0.16316512      0.11598564       0.02358963       0.02358985       0.00000000
    -15.63281641       0.16331588      0.11596672       0.02367453       0.02367463       0.00000000
    -15.61780890       0.16347487      0.11595531       0.02375979       0.02375976       0.00000000
    -15.60280140       0.16359724      0.11592029       0.02383856       0.02383840       0.00000000
    -15.58779390       0.16365056      0.11583882       0.02390601       0.02390573       0.00000000
    -15.57278639       0.16362698      0.11570493       0.02396121       0.02396084       0.00000000
    -15.55777889       0.16354679      0.11553207       0.02400759       0.02400714       0.00000000
    -15.54277139       0.16345179      0.11534871       0.02405179       0.02405128       0.00000000
    -15.52776388       0.16339075      0.11518847       0.02410143       0.02410086       0.00000000
    -15.51275638       0.16340207      0.11507808       0.02416230       0.02416169       0.00000000
    -15.49774887       0.16349974      0.11502778       0.02423631       0.02423565       0.00000000
    -15.48274137       0.16366775      0.11502722       0.02432062       0.02431991       0.00000000
    -15.46773387       0.16386512      0.11504878       0.02440855       0.02440778       0.00000000
    -15.45272636       0.16403977      0.11505699       0.02449181       0.02449097       0.00000000
    -15.43771886       0.16414671      0.11502085       0.02456338       0.02456248       0.00000000
    -15.42271136       0.16416406      0.11492490       0.02462006       0.02461910       0.00000000
    -15.40770385       0.16410123      0.11477491       0.02466366       0.02466267       0.00000000
    -15.39269635       0.16399641      0.11459633       0.02470054       0.02469954       0.00000000
    -15.37768884       0.16390395      0.11442589       0.02473951       0.02473855       0.00000000
    -15.36268134       0.16387593      0.11429909       0.02478885       0.02478798       0.00000000
    -15.34767384       0.16394409      0.11423796       0.02485343       0.02485270       0.00000000
    -15.33266633       0.16410850      0.11424319       0.02493294       0.02493237       0.00000000
    -15.31765883       0.16433679      0.11429352       0.02502182       0.02502145       0.00000000
    -15.30265133       0.16457456      0.11435256       0.02511107       0.02511093       0.00000000
    -15.28764382       0.16476339      0.11438088       0.02519122       0.02519129       0.00000000
    -15.27263632       0.16486069      0.11434942       0.02525550       0.02525577       0.00000000
    -15.25762881       0.16485438      0.11424942       0.02530226       0.02530270       0.00000000
    -15.24262131       0.16476767      0.11409584       0.02533564       0.02533620       0.00000000
    -15.22761381       0.16465201      0.11392275       0.02536432       0.02536495       0.00000000
    -15.21260630       0.16457043      0.11377232       0.02539874       0.02539938       0.00000000
    -15.19759880       0.16457683      0.11368095       0.02544765       0.02544824       0.00000000
    -15.18259130       0.16469790      0.11366711       0.02551515       0.02551564       0.00000000
    -15.16758379       0.16492379      0.11372499       0.02559922       0.02559958       0.00000000
    -15.15257629       0.16521069      0.11382599       0.02569225       0.02569245       0.00000000
    -15.13756878       0.16549457      0.11392782       0.02578335       0.02578340       0.00000000
    -15.12256128       0.16571187      0.11398811       0.02586193       0.02586183       0.00000000
    -15.10755378       0.16582028      0.11397827       0.02592112       0.02592089       0.00000000
    -15.09254627       0.16581300      0.11389311       0.02596010       0.02595979       0.00000000
    -15.07753877       0.16572162      0.11375288       0.02598455       0.02598419       0.00000000
    -15.06253127       0.16560668      0.11359720       0.02600493       0.02600455       0.00000000
    -15.04752376       0.16553862      0.11347257       0.02603320       0.02603284       0.00000000
    -15.03251626       0.16557537      0.11341760       0.02607904       0.02607874       0.00000000
    -15.01750875       0.16574354      0.11345048       0.02614663       0.02614642       0.00000000
    -15.00250125       0.16602942      0.11356300       0.02623326       0.02623316       0.00000000
    -14.98749375       0.16638275      0.11372275       0.02632998       0.02633003       0.00000000
    -14.97248624       0.16673208      0.11388311       0.02642437       0.02642460       0.00000000
    -14.95747874       0.16700709      0.11399789       0.02650438       0.02650482       0.00000000
    -14.94247124       0.16716088      0.11403586       0.02656218       0.02656284       0.00000000
    -14.92746373       0.16718516      0.11399091       0.02659668       0.02659756       0.00000000
    -14.91245623       0.16711353      0.11388432       0.02661406       0.02661515       0.00000000
    -14.89744872       0.16701177      0.11375856       0.02662597       0.02662724       0.00000000
    -14.88244122       0.16695789      0.11366446       0.02664601       0.02664743       0.00000000
