# ATOM = 1 (spec = C )
# NDIV =     2000 dE=      0.01500750
#    energy (ev)        dos_total           orb-1            orb-2            orb-3            orb-4
    -15.43771886       0.16390881      0.11486686       0.02452097       0.02452097       0.00000000
    -15.42271136       0.16395741      0.11479019       0.02458361       0.02458361       0.00000000
    -15.40770385       0.16400318      0.11471248       0.02464535       0.02464535       0.00000000
    -15.39269635       0.16404876      0.11463552       0.02470662       0.02470662       0.00000000
    -15.37768884       0.16409755      0.11456160       0.02476798       0.02476798       0.00000000
    -15.36268134       0.16415252      0.11449278       0.02482987       0.02482987       0.00000000
    -15.34767384       0.16421522      0.11443020       0.02489251       0.02489251       0.00000000
    -15.33266633       0.16428517      0.11437362       0.02495578       0.02495578       0.00000000
    -15.31765883       0.16436000      0.11432149       0.02501925       0.02501925       0.00000000
    -15.30265133       0.16443614      0.11427148       0.02508233       0.02508233       0.00000000
    -15.28764382       0.16451009      0.11422119       0.02514445       0.02514445       0.00000000
    -15.27263632       0.16457956      0.11416907       0.02520524       0.02520524       0.00000000
    -15.25762881       0.16464439      0.11411495       0.02526472       0.02526472       0.00000000
    -15.24262131       0.16470665      0.11406017       0.02532324       0.02532324       0.00000000
    -15.22761381       0.16477010      0.11400722       0.02538144       0.02538144       0.00000000
    -15.21260630       0.16483900      0.11395898       0.02544001       0.02544001       0.00000000
    -15.19759880       0.16491670      0.11391776       0.02549947       0.02549947       0.00000000
    -15.18259130       0.16500457      0.11388457       0.02556000       0.02556000       0.00000000
    -15.16758379       0.16510144      0.11385874       0.02562135       0.02562135       0.00000000
    -15.15257629       0.16520396      0.11383813       0.02568292       0.02568292       0.00000000
    -15.13756878       0.16530763      0.11381978       0.02574392       0.02574392       0.00000000
    -15.12256128       0.16540828      0.11380094       0.02580367       0.02580367       0.00000000
    -15.10755378       0.16550351      0.11377995       0.02586178       0.02586178       0.00000000
    -15.09254627       0.16559351      0.11375689       0.02591831       0.02591831       0.00000000
    -15.07753877       0.16568120      0.11373365       0.02597377       0.02597377       0.00000000
    -15.06253127       0.16577137      0.11371339       0.02602899       0.02602899       0.00000000
    -15.04752376       0.16586924      0.11369957       0.02608483       0.02608483       0.00000000
    -15.03251626       0.16597883      0.11369497       0.02614193       0.02614193       0.00000000
    -15.01750875       0.16610168      0.11370070       0.02620049       0.02620049       0.00000000
    -15.00250125       0.16623628      0.11371594       0.02626017       0.02626017       0.00000000
